#term ID,term description,observed gene count,background gene count,strength,false discovery rate,matching proteins in your network (IDs),matching proteins in your network (labels)
GO:0002757,immune response-activating signal transduction,9,332,1.65,2.82e-11,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0050852,T cell receptor signaling pathway,6,93,2.02,2.61e-09,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774","MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2"
GO:1901222,regulation of NIK/NF-kappaB signaling,6,97,2.0,2.77e-09,"9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025","MALT1,RBCK1,RC3H1,ZC3H12A,RC3H2,CYLD"
GO:0002429,immune response-activating cell surface receptor signaling pathway,7,234,1.69,4.26e-09,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2"
GO:2000319,regulation of T-helper 17 cell differentiation,4,17,2.58,4.05e-08,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774","MALT1,RC3H1,ZC3H12A,RC3H2"
GO:0051249,regulation of lymphocyte activation,7,401,1.45,8.47e-08,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570","MALT1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3"
GO:0050856,regulation of T cell receptor signaling pathway,4,36,2.26,4.1e-07,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000392025","MALT1,RC3H1,BCL10,CYLD"
GO:1903037,regulation of leukocyte cell-cell adhesion,6,278,1.55,4.1e-07,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025","MALT1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD"
GO:0048584,positive regulation of response to stimulus,10,2054,0.9,4.35e-07,"9606.ENSP00000221452,9606.ENSP00000319279,9606.ENSP00000348632,9606.ENSP00000356669,9606.ENSP00000359612,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025,9606.ENSP00000481570,9606.ENSP00000482657","RELB,MALT1,RBCK1,RC3H1,BCL10,ZC3H12A,RC3H2,CYLD,TNFAIP3,MAP3K14"
GO:0045580,regulation of T cell differentiation,5,130,1.8,5.06e-07,"9606.ENSP00000319279,9606.ENSP00000356669,9606.ENSP00000362179,9606.ENSP00000362774,9606.ENSP00000392025","MALT1,RC3H1,ZC3H12A,RC3H2,CYLD"
